Interval Start (s),original_subtitles,automatic_subtitles
300,"""I ara, 28 anys després, s'espera superar els 90 milions de turistes."" Vamos a cerrar con un nuevo récord. Dos turistas por habitante español. Esto es maravilloso, es muy positivo. ""Com ha anat l'estiu a casa nostra?"" El número de turistas que han visitado la Comunidad Valenciana este verano es seguramente el número récord.","I ara, 28 anys després, s'espera superar els 90 milions de turistes. Vamos a cerrar con un nuevo rècord dos turistas por habitante español, ¿no? Entonces, esto es maravilloso, esto es muy positivo. I com ha anat l'estiu a casa nostra? El número de turistas que han visitado la Comunidad Valenciana este verano és seguramente el número rècord. el número rècord."
330,"""Tampoc durarà molt esta nova fita, perquè la previsió és que el 2040 n'arriben 110."" Vamos a tener turistas para aburrir. ""Si es així, Espanya es convertiria en el país que més turistes rep del món."" És completament insostenible. -Sí que és sostenible. El turisme massiu és molt positiu. -No sabemos si hay limite. El limite es el que nos queramos imponer. -En la Comunitat Valenciana no tenim cap problema en cap lloc. -El turisme de masses","Però tampoc durarà molt esta nova fita perquè la previsió és que per al 2040 n'arriben 110. Vamos a tener turistas para aburrir. Si és així, Espanya es convertirà en el país que més turistes rep del món. Es completamente insostenible. Sí, sí que és sostenible. El turisme masivo és molt positiu. No sabem si hi ha límite o no. El límite, además, és el que ens querem imponer nosaltres mateixos. A día d'avui, en la Comunidad Valenciana"
360,"no tenim cap problema en cap lloc. -El turisme de masses és contaminant, és depredador de recursos i només genera beneficis econòmics ràpids per a quatre. Creemos que es una actividad que se mantiene en los niveles adecuados de sostenibilidad. -Todos son bienvenidos. Al turista lo queremos, lo amamos; le sacamos dinero. Se'n poden anar a cagar. ""El rècord de turistes s'hauria celebrat com una Champions en una altra època, aquella en blanc i negre","en la Comunidad Valenciana no tenim ningún problema en ningún lloc. El turisme de mases és contaminant, és depredador de recursos i l'únic que genera son beneficis econòmics ràpids per a 4. Nosaltres creiem que és una actividad que se manté en els nivells adecuats de sostenibilitat. amb el turista lo queremos, lo amamos, le sacamos dinero. Se'n poden anar a cagar. El rècord de turistes s'hauria celebrat com una Champions"
390,"en una altra època, aquella en blanc i negre en què s'aplaudia l'arribada massiva de turistes."" Eixe concepte del turista un milió, el turista dos milions. ""El número mil"". Hi anava l'alcalde. ""El número un milió"". Ja venia un ministre. ('El Turista 1.999.999', de Los Stop) # El turista 1.999.999 # cuando llegó... #","com una Champions en una altra època, aquella en blanc i negre, en què s'aplaudia l'arribada massiva de turistes. Sí, clar, evidentment. és el concepte del turista un milló o el turista dos milions. El número mil, pues anava l'alcalde, el número un millón, ja venia un ministre. El turista un millón, novecientos noventa y nueve mil, novecientos noventa y nueve, cuándo llegó. A día de hoy, eso es diría casi al contrario, ¿no?"
420,"# El turista 1.999.999 # cuando llegó... # A dia d'avui, això és, diria, quasi al contrari. ('Go home!', de Rosendo) # Conozco un forastero # que le encanta mi ciudad, # qué casualidad. # Como maneja dinerito # le permito pernoctar, # no te pase na. # ¡Dile que se vaya, 'go home'! # ""Com ha pogut canviar tant el comité de benvinguda en estos anys? I, sobretot, per què? Per a intentar aclarir-ho, començarem pel principi, pel passat.","eso es diría casi al contrario, ¿no? Conozco un forastero que le encanta a mi ciudad. Qué casualidad. Cómo maneja dinerito le permito per notar. No te pase nada. Dile que se van a robar con razón. ¿Cómo ha pogut cambiar tant el Comité de Benvinguda en estos años? Y sobre todo, ¿per qué? Para intentar aclarirlo, comenzaremos pel principi,"
450,"Per a intentar aclarir-ho, començarem pel principi, pel passat. ¿Com era l'economia valenciana abans del 'boom' del turisme en els anys 60?"" Era una societat agrícola, tot era taronja. Castellón hace 50 años, 'taronja i rajola', que se dice coloquialmente. Si tu volies tindre un futur, havies d'adaptar-te a 'los nuevos tiempos',","comenzaremos pel principi, pel passat. ¿Cómo era la economía valenciana abans del boom del turisme en los años 60? Buscando en el valor de los recuerdos, cualquier tiempo pasado nos parece mejor. Era una sociedad agrícola, todo era taronja. Castellón hace 50 años, taronja y rachola, ¿no?, que se dice coloquialmente, ¿no? Si tú volías tener un futuro, tenías que adaptarte a los nuevos tiempos"
480,"havies d'adaptar-te a 'los nuevos tiempos', i 'los nuevos tiempos' era el turisme, fonamentalment. -En eixe moment es buscava turisme. Perquè véiem que els que treballàvem en turisme vivíem bé. Millor que en el camp. ""En aquell moment només es volia créixer. I ara? Seria convenient fer el camí a la inversa?"" La saturació turística només la podrem gestionar quan assumim la limitació i el decreixement. Si queremos destruir tres millones de empleos, adelante.","tenías que adaptarte a los nuevos tiempos y los nuevos tiempos era el turismo, fundamentalmente. En ese momento se buscaba turismo, porque veíamos que los que trabajábamos en turismo vivían bien, mejor que en el campo, sí. En aquel momento solo se volía crecer y ahora, ¿sería conveniente hacer el camino a la inversa? La saturación turística no nos la podríamos gestionar cuando asumimos la limitación y el decrecimiento. Bueno, si queremos destruir 3 millones de empleos,"
510,"Si queremos destruir tres millones de empleos, adelante. Tenemos que ir hacia adelante. Tornar arrere significa limitar els espais públics i privats, evidentment, i accés a l'activitat... Somos la segunda potencia mundial de turismo, ¿quién quiere mirar atrás? ¿Estamos locos? ""En la dècada dels 60, l'exemple a imitar era Benidorm: la meca del turisme de sol i platja, el miracle econòmic espanyol."" Benidorm que de la nada llega a lo todo...","Bueno, si queremos destruir 3 millones de empleos, adelante, eso es una aberración, tenemos que ir hacia adelante. Tornar a rey, y tornar a rey significa limitar los espais públicos y privados, evidentemente, de acceso a la actividad turística. Somos la segunda potencia mundial de turismo. ¿Quién quiere mirar atrás? ¿Estamos locos? En la década del 60, l'exemple a imitar era Benidorm, la meca del turisme de sol i platja, el miracle econòmic espanyol. Benidorm, que de la nada llega a lo todo,"
540,"Ací  van dir: ""Nosaltres podem incorporar-nos a este món, tenim una bona platja"". -Cullera reunia unes condicions, cap platja ens guanyava. -No hi havia cap construcció que et llevara la vista de la mar. -El que ara als ecologistes els agradaria és el que eren les platges llavors. Les dunes i les platges ens les hem carregades. Es construïxen sobre zones protegides perquè sempre volen estar més a prop de la mar. ""¿En el anys 60 existia una preocupació","que de la nada llega a lo todo, pues así van dir, nosotros podemos incorporarnos a este mundo porque tenemos una buena platja. Hubiera reunir unas condiciones, no había ni una platja que nos guayara. No había construcción ninguna que llevara a la vista de la mar. Lo que ahora a los ecologistas les agradaría es lo que eran las platjas entonces. Las dunas y las platjas nos los encarregamos. Acabamos construyendo sobre zonas protegidas porque siempre quieren estar más a prop de la mar. En los años 60, existía una preocupación"
570,"""¿En el anys 60 existia una preocupació per l'impacte mediambiental del turisme, com en l'actualitat?"" No, no hi havia ninguna preocupació, perquè allò... Destrossaren Espanya. Tot el contrari. -Dic: ""Ací cal fer un hotelet"". I férem un hotelet d'unes 12 o 14 habitacions. ""Pepe Sabater va muntar primer l'hotel Port Bahía i poc després el Sicania."" El Port Bahía es quedà amb dos o tres estreles com a màxim,","existía una preocupación por el impacto medioambiental del turismo como en la actualidad? No, no, no, no había ninguna preocupación porque allo destrozara España, todo lo contrario. Hacía que hacer un hotelet y hacer un hotelet de unas 12 o 14 habitaciones. Pepe Sabater va muntar primer l'hotel Port Bahía i poc después el Sicania. Port Bahía es quedan dos o tres estrellas com a máximo."
600,"El Port Bahía es quedà amb dos o tres estreles com a màxim, el Sicània ja era un hotel de primera, de quatre estreles. ""Una vegada construïts els hotels, calia omplir-los. I per a fer arribar-hi els turistes..."" Van fer molts documentals en aquella època de turisme. ""Este, que va locutar José María Arquimbau, n'és un"". ""Quien visita la Costa de Azahar siente la misma impresión que quien tiene una novia bonita, con historia, monumentos, folklore, buena mesa, mar y alegría sin límites.""","com a máximo. El Sicania ja era un hotel de primera de quatre estrellas. Una vegada construïts els hotels, calia omplir-los i per a fer arribar-hi els turistes... Van fer molts documentals en aquella època de turisme. Este que va a locutar José María Arquimbao Nesun. Quien visita la costa de Azar siente la misma impresión que quien tiene una novia bonita. Una novia con historia, monumentos, folclore, buena mesa, mar"
630,"buena mesa, mar y alegría sin límites."" La veu era prou més jove que ara. ""I una vegada ací, la propaganda nacional procurava que els turistes estigueren còmodes i contents."" ""No entorpezca con trámites y pegas al turismo más interesante."" ""L'ús del biquini és l'exemple més clar i famós."" El va posar de moda una actriu francesa a Benidorm, la primera, al anys 50 i escaig.","buena mesa, mar y alegría sin límites. i una vegada la propaganda nacional procurava que els turistes estigueren cómodes i contents. No entorpezca con trámites si pegas al turismo más interesante. Luz del biquini es l'exemple més clar i famós. Lo va a posar de moda una actriu francesa en Benidorm. La primera en sal 50 y pico. Si els biquinis no s'havien vist hasta que van vindre els estrangers, no? Biquinis o menos. Se venien a Benidorm perquè era una playa que podien fer tobles mentre que la seua no ho podien fer. En l'actualitat,"
660,"la primera, al anys 50 i escaig. -Ací els biquinis no s'havien vist fins que van vindre els estrangers. Biquinis o menys. -Venien a Benidorm perquè era una platja on podien fer 'topless', mentre que en la seua no en podien fer. ""En l'actualitat també es fan concessions cap als turistes?"" Lo que se está ofertando es lo que el turista quiere. El teu poble, el meu poble, acabaran sent","En l'actualitat, també es fan concessions cap als turistes. El que se está ofertando es lo que el turista quiere. I el tu pueblo, el meu pueblo, o sea, acabaran siguient la meditación i la meditación de la meditación de la meditación que se va a la vida al turista. En l'actualitat, la meditación de la meditación es una playa que podien fer tobles mentre que la seua no lo podien fer. En l'actualitat, també es fan concessions cap als turistes. Lo que se está ofertando"
690,"El teu poble, el meu poble, acabaran sent la Mediterrània de PortAventura. ""En els darrers mesos s'han organitzat protestes contra la massificació turística en diverses localitats espanyoles, com a Barcelona o a Palma, dos dels destins turístics més visitats de l'Estat."" Turista qui no boti! Disparar, aunque sea con una pistola de agua, a turistas por la calle, no me parece que sea la mejor fórmula para recibir","Lo que se está ofertando es lo que el turista quiere. la Mediterrània de PortAventura. En els darrers mesos s'han organitzat protestes contra la massificació turística en diverses localitats espanyoles, com a Barcelona o a Palma, dos dels destins turístics més visitats de l'estat. Disparar, aunque sea con una pistola de agua a turistas por la calle, a mí no me parece que sea la mejor fórmula para poder recibir a lo que produce el 16% de nuestro PIB."
720,"la mejor fórmula para recibir a lo que produce el 16% de nuestro PIB. ""A casa nostra, a Alacant, també s'han manifestat. A la Marina Alta ha sorgit un col·lectiu activista anomenat Garrot."" ""Garrot"" crec que és una paraula superexplícita, supervalenciana, i ve a dir que tenim falta de vara, que ens posem les piles, que hem de canviar coses. -La Comunidad Valenciana","para poder recibir a lo que produce el 16% de nuestro PIB. A casa nostra, a Alacant, també s'han manifestat. I a la Marina Alta ha sortit un col·lectiu activista anomenat Garrot. Garrot crec que és una paraula superexplícita, és supervalenciana, a més, i vull dir que tenim falta de vara, que ens posem les piles, que hem de canviar coses. La comunitat valenciana no té un problema de turismofòbia,"
750,"que hem de canviar coses. -La Comunidad Valenciana no tiene un problema de turismofobia, no lo ha habido nunca. Estos conatos de enfrentamiento, discriminación o señalamiento hacia el fenómeno turístico tienen a mi juicio un claro componente político. Les manifestacions, el que estan aportant a dia de hui a l'activitat turística és una reflexió. -Rechazar a alguien por tener una procedencia extranjera o de fuera de nuestro territorio es un pronunciamiento de xenofobia que no podemos tolerar. -El turisme s'ha planificat sempre","La comunitat valenciana no té un problema de turismofòbia, no ho hi ha, no hi ha hagut mai. Aquests conatges d'enfrontament, de discriminació o de senyalament cap al fenomen turístic tenen, a mi juici, un molt clar component polític. Les manifestacions, el que estan aportant a dia d'avui a l'activitat turística, és una reflexió. Rechazar a algú por tener una procedencia extranjera o de fuera de nuestro territorio no es más que un pronunciamiento de xenofobia que no podemos tolerar. El turisme està planificat sempre"
780,"que no podemos tolerar. -El turisme s'ha planificat sempre des d'una mirada econòmica, perquè es pensava que el turisme és bo per natura. També genera efectes negatius. ""Podrien estes protestes provocar que els turistes deixen de visitar la Comunitat Valenciana?"" Aquí la única forma que dejen de venir turistas es que no salga el sol. ""Fins i tot al litoral Cantàbric, amb un volum turístic inferior al del Mediterrani, també han organitzat protestes als carrers.","El turisme està planificat sempre des d'una mirada econòmica, perquè es pensava que el turisme és bo, per natura, el turisme també genera efectes negatius en les destinacions. Podrien estes protestes provocar que els turistes deixen de visitar la comunitat valenciana? Vamos a ver, aquí la única forma que dejen de venir turistas es que no salga el sol. Fins i tot, al litoral cantàbric, amb un volum turístic inferior al del Mediterrani,"
810,"també han organitzat protestes als carrers. I les xarxes socials, Denis, guia turístic asturià, s'ha fet viral este estiu per tuits com estos."" Uno que tuvo bastante repercusión fue el del suspuesto ataque del oso en Covadonga. ""El tuit, exactament, deia: (LLIG)""","també han organitzat protestes als carrers. i en les xarxes socials. De Nís, guia turística asturà, s'ha fet viral aquest estiu per tuits com aquests. Uno que tuvo bastante repercusión fue lo del supuestre ataque de los un Covadonga. El tuit,"
840,"""El tuit, exactament, deia: (LLIG)"" Hay gente que se lo tragó, y hay gente que se tomó muy mal. ""Tanta gent s'ho va creure que alguns mitjans de comunicació van haver d'aclarir que no era cert."" Dije: ""No puede ser que la gente sea tan boba. Creo que esto va a ser muy obvio"". Me equivoqué. ¿Tu objetivo era espantar a los turistas, conscienciar...?","El tuit, exactamente de ella. Llach de Covadonga, este matí. Continuem fingint que Asturias és un lloc segur per a fer turisme. Hay gente que se lo tragó y hay gente que se lo tomó también muy mal. De fet, tanta gent s'ho va creure que alguns mitjans de comunicació van haver d'aclarir que no era cert. Le dije, bueno, no puede ser que la gente sea tan boga. Yo creo que esto va a ser muy obvio, la gente no va a traer con ello. Pues me equivoqué. Tu objetivo era espantar"
870,"¿Tu objetivo era espantar a los turistas, conscienciar...? Fundamentalmente, hacer reír. Después, obviamente, hay una una pequeña crítica a la masificación, a la turistificación; a determinades perfiles, digamos, soberbios; el típico turista capitalino que visita Asturias como de misionero a Burundi. ""O com un 'fodechincho', com diu el periodista i professor gallec Antón Losada en este, que també ha sigut molt comentat este estiu.""","era espantar a los turistas, concienciar... Fundamentalmente era cerré. Después, obviamente, sí hay una pequeña crítica a la masificación, a la turistificación, a determinados perfiles, digamos, soberbios, el típico turista capitalino que visita Asturias y va como de misionero a gurundi. o como un fodechincho, como digo el periodista y profesor Gallé Cantón Lozada en este vídeo. ¿Qué tan vea sigut?"
900,"en este, que també ha sigut molt comentat este estiu."" 'Fodechincho' es aquel al que los vigilantes le dicen que no se meta en ese mar, porque la marea está baja y tira para fuera, y se mete igual. Y si el vigilante le llama la atención, se cabrea. 'Fodechincho' es aquel al que le dices: ""No se puede subir a esas dunas, están protegidas"", y sube igual porque quiere ir por la playa. 'Fodechincho' es aquel que te oye hablar en el idioma en el que has hablado toda tu vida y le parece mal.","¿Qué tan vea sigut? Mol comentad, este es tío. Fodechincho es aquel al que los vigilantes le dicen que no se metan en ese mar porque la marea está baja y tira para afuera y te puede llevar y se meten igual. Y si el vigilante le llama la atención, se cabrea con el vigilante. Fodechincho es aquel al que le dices no se puede subir a esas dunas, están protegidas. Sí, ellos suben igual porque ellos quieren ver la playa. Y fodechincho es aquel que te oye hablar en el idioma del que has hablado toda tu vida desde que eras pequeño ¿Y le parece mal?"
930,"en el que has hablado toda tu vida y le parece mal. ""¿Vídeos i tuits virals com estos exemples que hem posat poden espantar els turistes?"" Yo creo que no van a dejar de venir turistas por hacer unos chistes. No estamos en desacuerdo con el turismo, es un sector que aporta muchas cosas positivas, pero necessita más regulación. ¿Y no consideras que esas medidas pueden afectar a los profesionales que trabajáis en el sector? Puede ser, pero yo no estoy dispuesto","¿Y le parece mal? Vídeos y tuits virals como estos exemples que en Posat pueden espantar a los turistas. A ver, yo creo que no van a dejar de venir turistas por hacer unos chistes ni mucho menos. No estamos en desacuerdo con el turismo, parece que es un sector que aporta muchas cosas positivas pero obviamente necesita una regulación. ¿Y no consideras que esas medidas pueden afectaros a los profesionales que trabajáis en el sector del turismo? Bueno, puede ser, pero yo por lo menos"
960,"Puede ser, pero yo no estoy dispuesto a ganar mucho dinero a cualquier precio, yo quiero cuidar mi entorno, mi entorno social y natural. ""En el passat, el turisme va ser considerat la gallina dels ous d'or. I ara, continua sent-ho?"" Estamos hablando de una generación de ingresos de 186.000 millones de euros, unos impuestos aproximadamente de 55.000 millones. Por lo tanto, sí que es la gallina de los huevos de oro,","pero yo por lo menos no estoy dispuesto a ganar mucho dinero porque el precio yo quiero cuidar mi entorno, mi entorno social, mi entorno natural. En el Pasat, el turismo va a ser considerado la gallina del South Door y ahora continúa Sento. Estamos hablando de una generación de ingresos de 186.000 millones de euros. Unos impuestos aproximadamente de 55.000 millones. Por lo tanto,"
990,"Por lo tanto, sí que es la gallina de los huevos de oro, sin lugar a dudas. -Ha sigut una gallina dels ous d'or durant moltes dècades, però ara els ous no brillen tant. No sé si són d'or o són de plata; algun en deu haver d'estany. A Espanya vivim d'astò, és el nostre petroli. És un tòpic, però és una realitat. -El impacto económico del turismo aquí es innegable. Es el sector productivo que más aporta a nuestra economía y sociedad. Por mucho que se diga que genera beneficio,","Por lo tanto, sí que es la gallina de los huevos de oro, sin lugar a dudas. Ha sido una gallina de los ous d'or durante muchas décadas pero ahora los ous no brillan tanto. No sé si son de oro o son de plata maciza o algo, ni habrá destino. En España vivimos esto, que es el nuestro petróleo. Es un tópico vivo pero es una realidad. El impacto económico del turismo en la comunidad valenciana ahora mismo es innegable, siendo el sector productivo que más aporta a nuestra economía y a nuestra sociedad. Por mucho que se diga que genera beneficio,"
1020,"Por mucho que se diga que genera beneficio, lo es para unos pocos. -Creo que hay demasiada demagogia sobre la precariedad de los puestos de trabajo dentro del turismo. -La gran majoria de jóvens de la Marina Alta ara mateix estan en situacions absolutament precàries. -Nadie ha podido demostrar con datos evidentes que existe una precariedad en los puestos de trabajo vinculados al turismo. ""Hem visitat un baret de platja a Gandia","que genera beneficio, sigue siendo un beneficio para unos pocos. Yo creo que sobre esto también hay demasiada demagogia sobre la precariedad de los puestos de trabajo dentro del turismo. La gran mayoría de jovens de la Marina Alta ara mateix estan en situacions absolutament precàries. Nadie ha podido demostrar con datos evidentes que existe una precariedad en los puestos de trabajo vinculados al turismo. Vam conèixer'ns a l'estiu per llançar birra..."
1050,"""Hem visitat un baret de platja a Gandia i un restaurant de Dénia per a parlar amb els propietaris sobre els beneficis que els aporta el turisme, i les seues postures no poden ser més diferents."" Als que tenim negoci ens agrada que vinga gent; i quanta més gent vinga, millor. Jo faig coses un poc a contracorrent. ""Ho diu perquè Miquel tanca el local a l'agost."" El públic que ve en estiu no és el client que, diguérem,",birra... Hem visitat un barret de platja a Candia i un restaurant d'Adenia per a parlar amb els propietaris sobre els beneficis que els aporta el turisme i les seues postures no poden ser més diferents. Si tenim negoci el que ens agrada és que vinga a gent i com més gent vinga millor a tots. Jo faig cosa de ser un poc a contracorrent. Ho diu perquè Miquel tanca el local a l'agost. El públic que ve en estiu no és el client
1080,"El públic que ve en estiu no és el client que, diguérem, podia ser el prototip del Baret. ""En canvi, Suso només l'obri a l'estiu."" Em pareix absurd que la gent es queixe d'això, que hi ha turisme o massa turisme. No cap en el meu cap. -¿Tu creus que ve gent reservant sis mesos abans i s'assenta i ens pregunta, quan mira la carta: ""Oye, ¿no tenéis comida normal?"". I se li diu: ""Por favor, ¿comida normal qué es?"".","no és el client que, diguem que podria ser el prototipo del barret. i en canvi s'uso només l'obri a l'estiu. És que em pareix absurde que la gent esqueixi d'això que n'hi ha turisme o massa turisme. No cap, n'hem-ho cap. Tu creus que veig gent recebant sis mesurantes i se senta i ens pregunta quan mira la carta i diu oi, oi, oi, no tenies comida normal? i se li diu"
1110,"I se li diu: ""Por favor, ¿comida normal qué es?"". I diu: ""Hombre, pues pizzas, hamburguesas"". ""Ens ha vingut al cap el bar gallec que este passat pont d'agost va tancar perquè el propietari estava fart d'algunes exigències de la clientela, com per exemple..."" (LLIG) Respecte la seua opinió, perquè jo faig el mateix, però no ho diria. Tu tanques i ja està, no has de donar explicacions.","i se li diu per favor, comida normal, què? Dicen, home, pizas, hamburguesas. Ens ha vingut al cap el bar Galler que este passat pont d'agost va tancar perquè el propietari estava fart d'algunes exigències de la clientela com per exemple Tendrás un pincho de tortilla para acompañar con el café que solo no me entra. Respecte la sua opinió perquè faig lo mateix però no ho diria tu tanques i ja està no t'has quedat una explicació a tu."
1140,"""El cas és que tant a qui pot viure tot l'any amb els diners que guanyen uns mesos com qui en guanya prou la resta de l'any i tanca a l'agost els ixen en els números. I als seus treballadors? Comencem per saber quants en són."" En som 11, comptant-me a mi. Sí, entre el ca de setmana i tot, 10 o 11. ""Vaja, una coincidència! I estan ben pagats?"" Si no estan ben pagats, ja no tornen. Ben pagats i tots assegurats.","El cas és que tant t'equipat viure tot l'any amb els diners que guanya en uns mesos com a qui guanya prou la resta de l'any i tanca a l'agost els 6 en els números i els seus treballadors comencem per saber quants en són. Som 11 comptant-me a mi. Sí, entre fin de setmana i tot sí, 10 o 11. Vaja, una coincidència i estan ben pagats? Si no estan ben pagats ja no tornen. Ben pagats i tots assegurats."
